MCC,MNC,国家2,运营商2
289,88,Abkhazia,A-Mobile
289,68,Abkhazia,A-Mobile
289,67,Abkhazia,Aquafon
412,88,Afghanistan,Afghan Telecom Corp. (AT)
412,80,Afghanistan,Afghan Telecom Corp. (AT)
412,1,Afghanistan,Afghan Wireless/AWCC
412,40,Afghanistan,Areeba/MTN
412,30,Afghanistan,Etisalat
412,50,Afghanistan,Etisalat
412,20,Afghanistan,Roshan/TDCA
412,3,Afghanistan,WaselTelecom (WT)
276,1,Albania,AMC/Cosmote
276,3,Albania,Eagle Mobile
276,4,Albania,PLUS Communication Sh.a
276,2,Albania,Vodafone
603,1,Algeria,ATM Mobils
603,2,Algeria,Orascom / DJEZZY
603,3,Algeria,Oreedo/Wataniya / Nedjma
544,11,American Samoa,Blue Sky Communications
213,3,Andorra,Mobiland
631,4,Angola,MoviCel
631,2,Angola,Unitel
365,840,Anguilla,Cable and Wireless
365,10,Anguilla,Digicell / Wireless Vent. Ltd
344,30,Antigua and Barbuda,APUA PCS
344,920,Antigua and Barbuda,C & W
344,930,Antigua and Barbuda,DigiCel/Cing. Wireless
722,310,Argentina Republic,Claro/ CTI/AMX
722,330,Argentina Republic,Claro/ CTI/AMX
722,320,Argentina Republic,Claro/ CTI/AMX
722,10,Argentina Republic,Compania De Radiocomunicaciones Moviles SA
722,70,Argentina Republic,Movistar/Telefonica
722,20,Argentina Republic,Nextel
722,340,Argentina Republic,Telecom Personal S.A.
722,341,Argentina Republic,Telecom Personal S.A.
283,1,Armenia,ArmenTel/Beeline
283,4,Armenia,Karabakh Telecom
283,10,Armenia,Orange
283,5,Armenia,Vivacell
363,20,Aruba,Digicel
363,2,Aruba,Digicel
363,1,Aruba,Setar GSM
505,14,Australia,AAPT Ltd.
505,24,Australia,Advanced Comm Tech Pty.
505,9,Australia,Airnet Commercial Australia Ltd..
505,4,Australia,Department of Defense
505,26,Australia,Dialogue Communications Pty Ltd
505,12,Australia,H3G Ltd.
505,6,Australia,H3G Ltd.
505,88,Australia,Localstar Holding Pty. Ltd
505,19,Australia,Lycamobile Pty Ltd
505,99,Australia,Railcorp/Vodafone
505,8,Australia,Railcorp/Vodafone
505,13,Australia,Railcorp/Vodafone
505,90,Australia,Singtel Optus
505,2,Australia,Singtel Optus
505,11,Australia,Telstra Corp. Ltd.
505,72,Australia,Telstra Corp. Ltd.
505,71,Australia,Telstra Corp. Ltd.
505,1,Australia,Telstra Corp. Ltd.
505,5,Australia,The Ozitel Network Pty.
505,16,Australia,Victorian Rail Track Corp. (VicTrack)
505,7,Australia,Vodafone
505,3,Australia,Vodafone
232,1,Austria,A1 MobilKom
232,11,Austria,A1 MobilKom
232,2,Austria,A1 MobilKom
232,9,Austria,A1 MobilKom
232,15,Austria,T-Mobile/Telering
232,10,Austria,H3G
232,14,Austria,H3G
232,12,Austria,3/Orange/One Connect
232,6,Austria,3/Orange/One Connect
232,5,Austria,3/Orange/One Connect
232,17,Austria,Spusu/Mass Response
232,3,Austria,T-Mobile/Telering
232,7,Austria,T-Mobile/Telering
232,4,Austria,T-Mobile/Telering
232,19,Austria,Tele2
232,8,Austria,A1 MobilKom
232,13,Austria,UPC Austria
400,1,Azerbaijan,Azercell Telekom B.M.
400,4,Azerbaijan,Azerfon.
400,3,Azerbaijan,Caspian American Telecommunications LLC (CATEL)
400,2,Azerbaijan,J.V. Bakcell GSM 2000
364,390,Bahamas,Bahamas Telco. Comp.
364,39,Bahamas,Bahamas Telco. Comp.
364,30,Bahamas,Bahamas Telco. Comp.
364,3,Bahamas,Smart Communications
426,1,Bahrain,Batelco
426,2,Bahrain,ZAIN/Vodafone
426,4,Bahrain,VIVA
470,2,Bangladesh,Robi/Aktel
470,5,Bangladesh,Citycell
